frame_index,face_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2
754,798,138,75,212,172
754,799,377,218,393,243
756,800,136,75,209,168
758,801,135,72,211,168
760,802,136,72,210,172
762,803,139,71,205,162
764,804,138,70,204,150
766,805,135,66,203,146
766,806,346,144,366,170
768,807,131,64,200,144
770,808,129,62,197,157
772,809,126,69,197,167
774,810,120,69,198,167
776,811,119,70,198,166
778,812,124,63,199,157
780,813,125,64,201,155
782,814,130,56,205,148
784,815,411,24,570,225
784,816,118,49,207,149
784,817,51,10,111,82
786,818,419,9,591,222
786,819,109,44,200,147
788,820,441,12,599,202
788,821,103,49,189,145
790,822,463,13,623,206
790,823,96,54,180,152
792,824,480,21,617,204
792,825,86,57,180,164
794,826,495,5,637,208
794,827,82,61,174,168
796,828,521,9,662,209
796,829,78,61,171,166
798,830,80,68,171,173
800,831,79,68,178,185
802,832,93,76,184,182
804,833,99,76,193,183
806,834,112,78,203,186
808,835,122,79,213,190
810,836,203,-12,304,136
810,837,135,82,226,192
812,838,549,37,671,210
812,839,137,83,230,193
814,840,513,12,655,222
814,841,144,83,237,189
816,842,489,25,622,215
816,843,135,77,230,189
818,844,483,23,615,203
818,845,130,74,224,181
820,846,461,14,615,208
820,847,119,77,214,185
822,848,437,13,593,208
822,849,110,74,208,186
824,850,416,8,572,204
824,851,111,73,202,184
826,852,392,-5,559,200
826,853,105,66,192,176
828,854,383,0,541,195
828,855,92,59,188,168
830,856,373,13,529,199
830,857,88,55,180,163
832,858,366,9,525,202
832,859,88,55,179,161
832,860,123,-35,192,55
832,861,227,219,250,246
834,862,350,3,520,222
834,863,90,59,183,165
836,864,353,7,519,224
836,865,94,61,189,171
838,866,363,17,522,214
838,867,506,15,598,147
838,868,102,62,195,172
840,869,373,14,531,220
840,870,523,12,621,151
840,871,105,54,201,172
840,872,34,19,78,76
842,873,379,25,538,218
842,874,550,18,634,143
842,875,112,51,204,154
844,876,120,61,200,163
846,877,119,61,201,163
848,878,125,62,202,162
850,879,123,67,205,169
852,880,124,76,208,182
854,881,124,75,211,179
856,882,127,72,213,178
858,883,125,73,213,175
860,884,125,74,212,174
862,885,129,74,211,171
864,886,129,75,211,171
866,887,128,78,210,172
868,888,131,82,210,183
870,889,130,80,212,185
872,890,130,78,211,177
874,891,132,78,211,175
876,892,131,75,212,173
878,893,129,76,209,171
878,894,444,190,465,215
880,895,124,75,206,167
880,896,444,190,465,215
882,897,123,75,205,168
882,898,444,190,465,215
884,899,128,74,206,169
886,900,120,71,202,169
888,901,121,69,203,172
888,902,268,139,333,231
890,903,123,70,204,171
890,904,72,208,118,276
892,905,134,70,207,168
892,906,105,202,128,238
894,907,125,68,203,167
896,908,127,66,205,165
896,909,107,204,122,228
898,910,125,65,200,161
900,911,126,65,200,158
902,912,129,65,200,156
904,913,129,68,200,158
906,914,132,70,203,165
908,915,127,64,207,160
910,916,128,64,205,161
912,917,126,63,206,165
912,918,480,188,501,213
914,919,127,61,207,163
